Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,ID,Prefix (Flat),VLAN Group,Pool,Marked Utilized,Tags,Created,Last updated,Depth
10.254.16.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 16 (16),Access,E1 - Vlan16,956,10.254.16.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.17.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 17 (17),Access,E1 - Vlan17,957,10.254.17.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.18.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 18 (18),Access,E1 - Vlan18,958,10.254.18.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.240.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Environment (240),Access,E1 - Environment,995,10.254.240.0/24,npflan-access,False,False,,2022-08-09 17:33,2022-08-09 17:33,1
10.254.248.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,AP Management (248),Wireless,E1 - Wireless Management,570,10.254.248.0/24,npflan-access,False,False,,2017-10-09 00:00,2022-08-08 19:10,1
10.254.250.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,CCTV (250),CCTV,E1 - CCTV,495,10.254.250.0/24,npflan-access,False,False,,2016-10-01 00:00,2022-08-08 19:10,1
10.255.192.0/18,Container,23,NPFLAN (npflan),34.375%,,npflan,,Management  Netværk,Netværk Management,168,10.255.192.0/18,,False,False,,2016-09-03 00:00,2016-09-03 14:20,0
10.255.193.0/24,Active,0,NPFLAN (npflan),16.92913385826772%,,npflan,Management (193),Management  Netværk,DC - Management,978,10.255.193.0/24,npflan-datacenter,False,False,,2022-08-08 18:56,2022-08-08 19:15,1
10.255.200.0/25,Active,0,NPFLAN (npflan),1.5873015873015872%,,npflan,Management (193),Management  Netværk,N3K1 Management,1005,10.255.200.0/25,npflan-core1,False,False,,2022-08-09 21:27,2022-08-09 21:27,1
10.255.200.128/25,Active,0,NPFLAN (npflan),1.5873015873015872%,,npflan,Management (193),Management  Netværk,N3K2 Management,1006,10.255.200.128/25,npflan-core2,False,False,,2022-08-09 21:27,2022-08-09 21:27,1
10.255.201.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D1 - Access Management,216,10.255.201.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:00,1
10.255.202.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D2 - Access Management,217,10.255.202.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:01,1
10.255.203.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D3 - Access Management,218,10.255.203.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:01,1
10.255.204.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D4 - Access Management,219,10.255.204.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:20,1
10.255.205.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D5 - Access Management,220,10.255.205.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:20,1
10.255.206.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D6 - Access Management,221,10.255.206.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:21,1
10.255.207.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D7 - Access Management,222,10.255.207.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:22,1
10.255.208.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D8 - Access Management,223,10.255.208.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:23,1
